educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,"Pasig, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Borongan City ,"15,001 to 25,000",Contract fixed timeline,Hybrid,Data Analyst,Business Analyst,11 to 30,Don't know,Don't know,,,"Power BI, Tableau",,,,Microsoft Azure,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, MS Teams, Google Meet, Slack","DAX (Power BI), M language (Power Query), Python, SQL, Tableau calculation","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Eskwelabs Data Science Aral-Aral Group,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,"LinkedIn, Indeed",Local employer,25 to 29
College degree,"Baco, Oriental Mindoro",Philippines,Male,"Datacamp, Real Python, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord","Appscript (Google), Python, SQL","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Manila Analytics Freelancers, Power BI Philippines UG, Power BI Users Meetup, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",I think it would be great if a discord server or a slack server is created since those platforms are more versatile when it comes to topic management and roles.,,,20 to 24
College degree,"Quezon City, Philippines",Philippines,Female,"Datacamp, DICT",Not working,Student/ New grad/ Career Break,,,,,,,,,,,"Databricks, AWS Redshift",,Apache Superset,Don't know,Excel,,"Microsoft Azure, Snowflake, Databricks","PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Discord",SQL,Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Project SPARTA",Career advancement,"Answer surveys, Co-training/ Training",Connect with other members of the group,,,20 to 24
Master's degree,"Pangasinan, Philippines",Philippines,Male,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,"San Mateo, California","45,001 to 55, 000",Full-time,Hybrid,Management,"Software Engineer, Cloud Architect",2 to 3,,,,,,,,,,"Don't know, None","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","Appscript (Google), DAX (Power BI), M language (Power Query), Python, R, SQL, VBA",Chatgpt,,laptop,"No, I just found out now.",,"Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, DEVCON Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,none,"LinkedIn, Glassdoor, My network  - people I know",Multinational employer,35 to 39
College degree,"Batangas City, Philippines",Philippines,Male,Youtube bootcamp,"IT, BPO, and Business Services",Career shifter,Work city same as residence,Caloocan,"250,001 and above",Full-time,Mostly work from home/ fully remote,IT Support,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Machine Learning Engineer, AI Engineer",1 - Just me,,Power query,,,Power BI,,,,,,"Google sheets, Excel, OneDrive, MS Teams, Karbon","DAX (Power BI), SQL","No, I do not use AI currently",,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,,"LinkedIn, Jobstreet",Multinational employer,
Secondary school student,"San Pablo City, Laguna",Philippines,Female,"Datacamp, LeetCode",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Discord",,,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AIM-Master of Science in Data Science, Community: SPARTA PH, Datasense Philippines, FTW Foundation, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Lead a study group, Mentor",none,,,<19
College degree,"Taguig, Philippines",Philippines,Male,"Datacamp, Freecodecamp, Git Hub Learning Lab, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,Wfh,"15,000 and below",Full-time,Mostly work from home/ fully remote,Data Analyst,Academic,1 - Just me,Don't know,Don't know,,,,,Don't know,,,Don't know,Excel,"DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Gemini",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,Continued learning,"Answer surveys, Coordinate during events",None so far,"LinkedIn, Indeed, OnlineJobs.ph",Multinational employer,40 to 44
College degree,"Baguio City, Philippines",Philippines,Male,"Cisco, Coursera",Manufacturing,Freelance,Work city same as residence,quezon city,"45,001 to 55, 000",Part-time,Mostly work from home/ fully remote,ESL tutor,Data Engineer,1 - Just me,Python scripts,"Pandas, Power BU","Azure Synapse, Databricks, Snowflake",Airflow,"Power BI, Tableau",,,,"Amazon Web Services (AWS), Microsoft Azure, Snowflake, Databricks",PostgreSQL,"Google sheets, Excel, OneDrive, MS Teams, Slack","Python, SQL","Chatgpt, Gemini",Colab Notebooks,desktop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Project SPARTA, Python Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",Add an AI-generated response (faq) on social media platform,"LinkedIn, Upwork, OnlineJobs.ph, My network  - people I know",Local employer,40 to 44
College degree,"Clark, Philippines",Philippines,Prefer not to say,"AWS Cloud Certification, Project Sparta",Not working,Student/ New grad/ Career Break,,,,,,,,,,,Big Query,,,,,,Microsoft Azure,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",,"Chatgpt, Copilot, Gemini, Julius",,laptop,"No, I just found out now.","No, I just browsed through.",,Upskill / Skill acquisition,"Answer surveys, Connect with sponsors, Joint initiative with other groups, Volunteer for group initiatives",,,,
College degree,"Quezon City, Philippines",Philippines,Male,"Codecademy, Datacamp, Freecodecamp, Google Developers, LinkedIn Learning, MicrosoftLearn, SoloLearn",Engineering,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, Google Meet","Python, SQL","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Programmers,Developers, Project SPARTA",,"Answer surveys, Connect with sponsors, Co-training/ Training",help me to upskill my knowledge and land a job,,Multinational employer,20 to 24
College degree,"Quezon City, Philippines",Philippines,Female,"Coursera, MicrosoftLearn, O'Reilly Online Learning",Not working,Student/ New grad/ Career Break,,,,,,,,,,,Oracle,,,,,,"Amazon Web Services (AWS), Microsoft Azure, Snowflake, Databricks",,"Google Drive, MS Teams","Python, R",Chatgpt,"Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic",,,,20 to 24
College degree,"Caloocan, Philippines",Philippines,Male,Datacamp,Not working,Career shifter,Work city different from residence,Cavite City,"15,000 and below",Full-time,100% onsite,Field Engineer,Na,4 to 5,,,Big Query,,"Looker, Oracle BI and Oracle DV",Mixpanel,Elementary,Just dbt-metabase + dbt docs for now,Google Cloud Platform (GCP),"PostgreSQL, Oracle Database","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Appscript (Google), Javascript, Python, SQL",Chatgpt,"Colab Notebooks, Hex Workspaces",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Mentor,More opportunities for learners,Indeed,Local employer,30 to 34
College degree,Cavite,Philippines,Male,"Freecodecamp, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"75,001 to 85,000",Full-time,Hybrid,Business Analyst,"Business Analyst, Developer",4 to 5,SQL,"SQL, PREP",,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Big Data Analytics PH, Data Science Philippines, DEVCON Community Group","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Co-training/ Training",,"LinkedIn, Jobstreet",Multinational employer,25 to 29
Master's degree,Laguna Philippines,Philippines,Male,"AWS Cloud Certification, Coursera, W3Schools","IT, BPO, and Business Services",Freelance,Work city same as residence,remote,"15,000 and below",Freelance,Mostly work from home/ fully remote,Data Analyst,Unemployed,1 - Just me,,,,,,,,,Google Cloud Platform (GCP),,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, Google Meet, Discord",None of these,"Chatgpt, Claude, Gemini, Perplexity",,desktop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Upskill / Skill acquisition",Answer surveys,more visibility on most social media platform,Upwork,Local employer,40 to 44
College degree,"Manila, Philippines",Philippines,Male,Datacamp,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL",Chatgpt,I use none,desktop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Lead a study group, Regularly post content, Co-training/ Training, Volunteer for group initiatives","Getting in-touched with the community and sharing some new ideas, insights, technology and opportunity.",,,25 to 29
Master's degree,"Pampanga, Philippines",Philippines,Male,"Datacamp, Real Python, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"250,001 and above",Full-time,Mostly work from home/ fully remote,Data Scientist,"Management, Software Engineer, Analytics Engineer",6 to 10,Azure Databricks,"Pandas, Spark",,,"Power BI, Tableau",,,,,,"Excel, OneDrive, Asana, MS Teams",,Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Data Science Philippines, Power BI Philippines UG","Career advancement, Continued learning","Answer surveys, Joint initiative with other groups",,"LinkedIn, Upwork",Multinational employer,25 to 29
College degree,Laguna - San Pedro,Philippines,Prefer not to say,"Coursera, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,"Azure Synapse, Databricks, AWS Redshift, Big Query, Snowflake",,,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake",,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","R, VBA",Copilot,PythonAnywhere Jupyter Notebook,Both desktop and laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",,,,,20 to 24
College degree,"Mamburao, Philippines ",Philippines,Female,Youtube bootcamp,Banking / Finance / Insurance,Career shifter,Work city different from residence,"Lakewood Ranch, Florida","45,001 to 55, 000",Freelance,Mostly work from home/ fully remote,Analytics Engineer,"Software Engineer, Analytics Engineer, Machine Learning Engineer, AI Engineer",11 to 30,"Fivetran, Glue, Lambda","Pandas, None",AWS Redshift,Airflow,,,,,,"MongoDB, PostgreSQL",Excel,Python,"No, I do not use AI currently","Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives",,LinkedIn,Local employer,25 to 29
College degree,"Quezon City, Philippines",Philippines,Male,"Cisco, Coursera, Datacamp, MicrosoftLearn, Udemy, W3Schools",Manufacturing,Career shifter,Work city different from residence,"Eastwood, QC","15,001 to 25,000",Full-time,100% onsite,Data Quality,Data Analyst,4 to 5,,Pandas,,,"Looker, Power BI, Tableau",,,,,,"Excel, Google Drive, Zoom","Python, SQL, Java , C++",Chatgpt,"Kaggle Notebooks, Colab Notebooks, Azure Notebooks, Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Mentor, Co-training/ Training",,"LinkedIn, My network  - people I know",Multinational employer,25 to 29
