Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Iloilo City, Philippines",Philippines,Female,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools",Currently Club volunteer,Professional,Work city same as residence,Baguio City,"15,001 to 25,000",Full-time,100% onsite,Business Analyst,Data Analyst,6 to 10,None,none,Snowflake,N/A,"Power BI, Tableau, SQL Server Reporting Services (SSRS)",NA,.,na,Snowflake,None,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",None,Copilot,  ,laptop,"No, I just found out now.",na,.,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",NONE, ,Local employer,26
College degree,"Sta. Maria, Bulacan",Philippines,Female,"Coursera, Datacamp, Google Analytics, Oracle University","IT, BPO, and Business Services",Career shifter,Work city different from residence,Pasay City,"95,001 to 100,000",Full-time,Hybrid,Software Engineer,Digital Marketing ,1 - Just me,none,Dataflows/Power Query,_, ,NA,N/A,NONE,na,Microsoft Azure, ,"Google sheets, Excel, Google Drive, OneDrive, Discord","DAX (Power BI), Python, SQL, VBA","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Artificial Intelligence Philippines, Azure User Group Manila Meetup, Community: SPARTA PH, Data Analytics Philippines, DEVCON Philippines, Power BI Philippines UG, R User Group - Philippines","Career advancement, Upskill / Skill acquisition",_, ,LinkedIn,Multinational employer,39
College degree,"Mandaluyong, Philippines",Philippines,Female,MicrosoftLearn,Not working,Student/ New grad/ Career Break,NA,None,,.,.,N/A,NA,NA,NONE,N/A,na,None,_,none,NA,na,N/A,NA,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,"Chatgpt, Gemini, Github copilot",NA,laptop,"No, I just found out now.","No, I just browsed through.",_,"Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer to speak in events",  ,_,NA,32
College degree,"Pasay City, Philippines",Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,"Tarlac City, Tarlac","55,001 to 65,000",Full-time,Hybrid,Data Engineer,"Data Analyst, Applplication Specialist/QA/Technical Support",1 - Just me,N/A,Pandas,  ,none,"Power BI, Tableau",NONE,na,None,Amazon Web Services (AWS),"MongoDB, PostgreSQL","Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord",.,Chatgpt, ,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",  ,LinkedIn,Local employer,35
Master's degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, edX",Logistics,Career shifter,Work city different from residence,East Melbourne,"15,001 to 25,000",Full-time,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",Reports Analyst - mainly maintaining and developing Power BI and Excel-based reports.,"Management, Data Engineer, Data Analyst, Developer",2 to 3,NONE,_,_, , ,  ,none, ,none,PostgreSQL,"Excel, OneDrive, MS Teams, Slack","Python, SQL",Chatgpt,.,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",Frequent meetups in multiple locations so that it will be accessible to more users who want to connect,Social Media - I started as an Agent in the company I'm working at and eventually moved up to my current role.,Multinational employer,39
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Youtube bootcamp, different projects on youtube",Public Policy Research,Student/ New grad/ Career Break,NONE,_,,N/A,N/A,.,None,none,none,none,NONE,  ,NONE,N/A,N/A, ,  ,na,"Excel, Google Drive, Zoom","Appscript (Google), Javascript, Python, SQL",none,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Project SPARTA,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",NONE,.,Multinational employer,20
College degree,Bacolod,Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,Taguig,"25,001 to 35,000",Contract fixed timeline,Mostly work from home/ fully remote,Management,"Data Scientist, Business Analyst",11 to 30,"Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Google sheets, Excel, Google Drive, Slack, Zapier","JASP, JAMOVI","No, I do not use AI currently", ,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Data Analytics Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups",Hold quarterly or annual data/tech webinar fest,LinkedIn,Multinational employer,33
College degree,"Caloocan, Philippines",Philippines,Male,Not currently using any digital tools for learning,Healthcare,Career shifter,Work city different from residence,Makati,"15,000 and below",Full-time,100% onsite,Network admin,"Data Analyst, HR Technical Recruiter",1 - Just me,_,none, ,  ,Power BI,none,na,NONE, ,none,"Google sheets, Excel, Zoom, MS Teams, Google Meet, Discord",.,"Chatgpt, Gemini",none,laptop,"No, I just found out now.","No, I just browsed through.","Programmers,Developers","Continued learning, Upskill / Skill acquisition","Resource for specific topic, Co-training/ Training",N/A,Indeed,Local employer,21
College degree,"Cotabato City, Philippines",Philippines,Female,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Freelance,Work city different from residence,"Missouri, USA","15,000 and below",Freelance,Mostly work from home/ fully remote,Data Engineer,Unemployed,1 - Just me,NONE,none,  ,NA,"Power BI, Tableau",  ,na,None,na,None,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Slack, Discord",NONE,"No, I do not use AI currently","Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Power BI Philippines UG","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",knowledge sharing,NA,I am still yet to try these job networking sites.,Multinational employer,28
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Ortigas Mandaluyong,"100,001 to 125,000",Full-time,Mostly work from home/ fully remote,Management,Analytics Engineer,4 to 5,None,"Pandas, dbt",Postgre,NONE,Power BI,  ,dbt,none,Amazon Web Services (AWS),"PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, Monday.com, Google Meet, Slack, Discord",M language (Power Query),Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, Datasense Philippines, PyData Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Mentor,None so far,"LinkedIn, My network  - people I know",Multinational employer,26
College degree,"Batangas, Philippines",Philippines,Male,"Coursera, Datacamp, Udemy",Currently Club volunteer,Career shifter,Work city different from residence,Makati,"25,001 to 35,000",Full-time,100% onsite,Network / VoIP Administrator,Academic,4 to 5,.,"Pandas, Spark",.,.,na,.,na,  ,_,None,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",Python,"Chatgpt, Copilot, Gemini, Github copilot","Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",Phone,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training","Encourage active and regular participation in FB and Discord, have initiatives to welcome people into the conversations.",LinkedIn,Local employer,27
College degree,"Bukit Batok, Singapore",Singapore,LGBTQ+,"Coursera, edX, Google Analytics, Google Cloudskills Boost, Khan Academy, Udemy, W3Schools",Freelance,Freelance but going back to employee,.,LUGAIT MISor,"25,001 to 35,000",Part-time,Unemployed as of the moment,General Service ,"Data Analyst, Data Scientist",30+,Meltano,"Pandas, ","Azure Synapse, Databricks",Just airbyte,Quicksight,"None, IBM Websphere Cast Iton",Monte Carlo Data,AWS Glue Data Catalog,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake","Apache Spark, Apache Kafka, PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook, Replit",DESKTOP AND LAPTOP,"Yes, I am aware of the free resources in the DEP website.",.,NA,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Lead a study group, Co-training/ Training, Volunteer for group initiatives",Try to enhance the technical skills as much as possible ,Toptal,National Government Agency ,34
College degree,"Malolos,Bulacan",Philippines,Male,"Datacamp, Youtube bootcamp",Own Business/ Consultancy/Freelance,Professional,Work city different from residence,Quezon City,"55,001 to 65,000",Full-time,Hybrid,Business Analyst,"Data Scientist, Business Analyst, Developer",2 to 3,.,na,  ,Airflow,Power BI,  , ,N/A,  ,N/A,"Google sheets, Excel, Zoom, MS Teams, Google Meet, Discord","Javascript, Python","Chatgpt, Gemini",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines,"Continued learning, Network, Potential future mentoring opportunities ",Answer surveys,Expand the communications through school visits to those who are interested regarding Data Engineering. ,My network  - people I know,Local employer,25
College degree,Cavite,Philippines,Male,"Coursera, Datacamp, LeetCode",Not working,Student/ New grad/ Career Break,NONE,  ,,N/A,none,N/A,NONE,.,na,_,  , ,NA, ,na,_,none,NONE,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), SQL",Chatgpt,.,desktop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,Upskill / Skill acquisition,"Answer surveys, Volunteer for group initiatives",_,N/A,na,_
College degree,Laguna,Philippines,Male,Coursera,Not working,Student/ New grad/ Career Break,None,na,, ,na, , , ,na,  ,none,none,_,  ,NONE,None,NONE,na,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL","Databricks assistant, Company Chat AI",Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics for Pinoys, Data Analytics Philippines, Datasense Philippines","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",Currently don't have any for now,N/A,_,22
College degree,"Manila, Philippines",Philippines,Male,"Freecodecamp, MicrosoftLearn, Oracle University, Udemy, W3Schools",Telecommunication,Upskilling,Work city different from residence,Melbourne,"15,000 and below",Full-time,100% onsite,Management,Business Analyst,2 to 3,_,NONE,none,  ,NONE,NA,_,N/A,none,"MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",None,"No, I do not use AI currently","PythonAnywhere Jupyter Notebook, DataCamp's Datalab",laptop,"No, I just found out now.",_,"Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",na,My network  - people I know,Local employer,30
College degree,"Pasig, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Borongan City ,"15,001 to 25,000",Contract fixed timeline,Hybrid,Data Analyst,Business Analyst,11 to 30,Don't know,Don't know,NONE,NA,"Power BI, Tableau",N/A,_,  ,Microsoft Azure, ,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, MS Teams, Google Meet, Slack","DAX (Power BI), M language (Power Query), Python, SQL, Tableau calculation","No, I do not use AI currently",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Eskwelabs Data Science Aral-Aral Group,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",None,"LinkedIn, Indeed",Local employer,26
College degree,"Baco, Oriental Mindoro",Philippines,Male,"Datacamp, Real Python, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,none,N/A,, ,NA,none,na,None,N/A,na,  ,  ,none,None,N/A,.,.,none,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord","Appscript (Google), Python, SQL","Chatgpt, Gemini",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Manila Analytics Freelancers, Power BI Philippines UG, Power BI Users Meetup, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",I think it would be great if a discord server or a slack server is created since those platforms are more versatile when it comes to topic management and roles.,_,none,20
College degree,"Quezon City, Philippines",Philippines,Female,"Datacamp, DICT",Not working,Student/ New grad/ Career Break,N/A,NA,,None,_,  ,na,None,none,None,"Databricks, AWS Redshift",_,Apache Superset,Don't know,Excel,N/A,"Microsoft Azure, Snowflake, Databricks","PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Discord",SQL,Chatgpt,na,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Project SPARTA",Career advancement,"Answer surveys, Co-training/ Training",Connect with other members of the group,none,  ,23
